,ds,y
940,2020-07-29,28669.29
941,2020-07-30,28668.36
942,2020-07-31,28667.44
943,2020-08-01,28666.51
944,2020-08-02,28665.59
945,2020-08-03,28664.66
946,2020-08-04,28663.74
947,2020-08-05,28662.81
948,2020-08-06,28661.89
949,2020-08-07,28660.96
950,2020-08-08,28660.04
951,2020-08-09,28659.11
952,2020-08-10,28660.03
953,2020-08-11,28660.96
954,2020-08-12,28661.88
955,2020-08-13,28662.81
956,2020-08-14,28663.73
957,2020-08-15,28664.65
958,2020-08-16,28665.58
959,2020-08-17,28666.5
960,2020-08-18,28667.43
961,2020-08-19,28668.35
962,2020-08-20,28669.28
963,2020-08-21,28670.2
964,2020-08-22,28671.12
965,2020-08-23,28672.05
966,2020-08-24,28672.97
967,2020-08-25,28673.9
968,2020-08-26,28674.82
969,2020-08-27,28675.75
970,2020-08-28,28676.67
971,2020-08-29,28677.6
972,2020-08-30,28678.52
973,2020-08-31,28679.45
974,2020-09-01,28680.37
975,2020-09-02,28681.3
976,2020-09-03,28682.22
977,2020-09-04,28683.14
978,2020-09-05,28684.07
979,2020-09-06,28684.99
980,2020-09-07,28685.92
981,2020-09-08,28686.84
982,2020-09-09,28687.77
983,2020-09-10,28688.73
984,2020-09-11,28689.68
985,2020-09-12,28690.64
986,2020-09-13,28691.59
987,2020-09-14,28692.55
988,2020-09-15,28693.51
989,2020-09-16,28694.46
990,2020-09-17,28695.42
991,2020-09-18,28696.37
992,2020-09-19,28697.33
993,2020-09-20,28698.29
994,2020-09-21,28699.24
995,2020-09-22,28700.2
996,2020-09-23,28701.15
